fid,ID,ENTIDAD,DISTRITO,MUNICIPIO,SECCION,TIPO,Geometry1_,CONTROL,localidadN,localidadC
166,171,"26","7","71","1331","4",1=X]]N,171,Benito Juárez,"071"
1030,1052,"26","3","49","384","2","1=X,zG>",1052,Hermosillo,"030"
1031,1053,"26","3","49","385","2","1=X,zG>",1053,Hermosillo,"030"
1032,1054,"26","3","49","386","2","1=X,zG>",1054,Hermosillo,"030"
1033,1055,"26","3","49","387","2","1=X,zf",1055,Hermosillo,"030"
1034,1056,"26","3","49","399","2","1=X,zi\",1056,Hermosillo,"030"
1035,1057,"26","3","49","388","2","1=X,zi-",1057,Hermosillo,"030"
1036,1058,"26","3","49","377","2","1=X,zi-",1058,Hermosillo,"030"
1037,1059,"26","3","49","369","2","1=X,zi(",1059,Hermosillo,"030"
1038,1060,"26","3","49","348","2","1=X,zi*",1060,Hermosillo,"030"
1039,1061,"26","3","49","368","2","1=X,zi,",1061,Hermosillo,"030"
1040,1062,"26","3","49","400","2","1=X,zG>",1062,Hermosillo,"030"
1041,1063,"26","3","49","401","2","1=X,zGC",1063,Hermosillo,"030"
1042,1064,"26","3","49","402","2","1=X,zGC",1064,Hermosillo,"030"
1043,1065,"26","3","49","428","2","1=X,zG>",1065,Hermosillo,"030"
1044,1066,"26","3","49","364","2","1=X,zi(",1066,Hermosillo,"030"
1045,1067,"26","3","49","429","2","1=X,zG>",1067,Hermosillo,"030"
1046,1068,"26","3","49","427","2","1=X,zGe",1068,Hermosillo,"030"
1047,1069,"26","3","49","426","2","1=X,zGC",1069,Hermosillo,"030"
1048,1070,"26","3","49","430","2","1=X,zG>",1070,Hermosillo,"030"
1049,1071,"26","3","49","431","2","1=X,zGC",1071,Hermosillo,"030"
1050,1072,"26","3","49","397","2","1=X,zi-",1072,Hermosillo,"030"
1051,1073,"26","3","49","340","2","1=X,z",1073,Hermosillo,"030"
1052,1074,"26","3","49","347","2","1=X,z",1074,Hermosillo,"030"
1053,1075,"26","3","49","406","2","1=X,zi-",1075,Hermosillo,"030"
1054,1076,"26","3","49","448","2","1=X,zG",1076,Hermosillo,"030"
1055,1077,"26","3","49","356","2","1=X,zi*",1077,Hermosillo,"030"
1056,1078,"26","3","49","405","2","1=X,zi]",1078,Hermosillo,"030"
1057,1079,"26","3","49","363","2","1=X,zi(",1079,Hermosillo,"030"
1058,1080,"26","3","49","357","2","1=X,zi-",1080,Hermosillo,"030"
1059,1081,"26","3","49","362","2","1=X,zi-",1081,Hermosillo,"030"
1060,1082,"26","3","49","371","2","1=X,zi-",1082,Hermosillo,"030"
1061,1083,"26","3","49","379","2","1=X,zi-",1083,Hermosillo,"030"
1062,1084,"26","3","49","449","2","1=X,zG",1084,Hermosillo,"030"
1063,1085,"26","3","49","389","2","1=X,zi-",1085,Hermosillo,"030"
1064,1086,"26","3","49","396","2","1=X,zi-",1086,Hermosillo,"030"
1065,1087,"26","3","49","423","2","1=X,zi-",1087,Hermosillo,"030"
1066,1088,"26","3","49","450","2","1=X,zG",1088,Hermosillo,"030"
1067,1089,"26","3","49","365","2","1=X,zi(",1089,Hermosillo,"030"
1068,1090,"26","3","49","382","2","1=X,zi-",1090,Hermosillo,"030"
1069,1091,"26","3","49","422","2","1=X,zi-",1091,Hermosillo,"030"
1070,1092,"26","3","49","355","2","1=X,zi(",1092,Hermosillo,"030"
1071,1093,"26","3","49","383","2","1=X,zi-",1093,Hermosillo,"030"
1072,1094,"26","3","49","447","2","1=X,zGC",1094,Hermosillo,"030"
1073,1095,"26","3","49","437","2","1=X,zi-",1095,Hermosillo,"030"
1074,1096,"26","3","49","349","2","1=X,zi(",1096,Hermosillo,"030"
1075,1097,"26","3","49","354","2","1=X,zi)",1097,Hermosillo,"030"
1076,1098,"26","3","49","436","2","1=X,zi-",1098,Hermosillo,"030"
1077,1099,"26","3","49","432","2","1=X,zGE",1099,Hermosillo,"030"
1078,1100,"26","3","49","353","2","1=X,zf",1100,Hermosillo,"030"
1079,1101,"26","3","49","445","2","1=X,zi-",1101,Hermosillo,"030"
1080,1102,"26","3","49","342","2","1=X,z",1102,Hermosillo,"030"
